matrix,left,right,value,status,note
alt:response,asus_xg27acsr,gigabyte_g27q2,2,committed,from attributes (higher-better): asus_xg27acsr=82 vs gigabyte_g27q2=80 → pref ratio 1.67 → Saaty 2; affine stretch
alt:refresh,asus_vg27aqme5f,asus_vg27aqml5f,1/2,committed,from attributes (higher-better): asus_vg27aqme5f=255 vs asus_vg27aqml5f=320 → pref ratio 0.539 → Saaty 1/2; affine stretch
alt:refresh,asus_vg27aqme5f,asus_xg27acsr,2,committed,from attributes (higher-better): asus_vg27aqme5f=255 vs asus_xg27acsr=220 → pref ratio 1.85 → Saaty 2; affine stretch
alt:refresh,asus_vg27aqme5f,gigabyte_g27q2,3,committed,from attributes (higher-better): asus_vg27aqme5f=255 vs gigabyte_g27q2=210 → pref ratio 2.45 → Saaty 3; affine stretch
alt:refresh,asus_vg27aqml5f,asus_xg27acsr,3,committed,from attributes (higher-better): asus_vg27aqml5f=320 vs asus_xg27acsr=220 → pref ratio 3.44 → Saaty 3; affine stretch
alt:refresh,asus_vg27aqml5f,gigabyte_g27q2,5,committed,from attributes (higher-better): asus_vg27aqml5f=320 vs gigabyte_g27q2=210 → pref ratio 4.55 → Saaty 5; affine stretch
alt:refresh,asus_xg27acsr,gigabyte_g27q2,1,committed,from attributes (higher-better): asus_xg27acsr=220 vs gigabyte_g27q2=210 → pref ratio 1.32 → Saaty 1; affine stretch
alt:clarity,asus_vg27aqme5f,asus_vg27aqml5f,1,committed,from attributes (higher-better): asus_vg27aqme5f=1440 vs asus_vg27aqml5f=1440 → pref ratio 1 → Saaty 1
alt:clarity,asus_vg27aqme5f,asus_xg27acs,1,committed,from attributes (higher-better): asus_vg27aqme5f=1440 vs asus_xg27acs=1440 → pref ratio 1 → Saaty 1
alt:clarity,asus_vg27aqme5f,asus_xg27acsr,1,committed,from attributes (higher-better): asus_vg27aqme5f=1440 vs asus_xg27acsr=1440 → pref ratio 1 → Saaty 1
alt:clarity,asus_vg27aqme5f,gigabyte_g27q2,1,committed,from attributes (higher-better): asus_vg27aqme5f=1440 vs gigabyte_g27q2=1440 → pref ratio 1 → Saaty 1
alt:clarity,asus_vg27aqml5f,asus_xg27acs,1,committed,from attributes (higher-better): asus_vg27aqml5f=1440 vs asus_xg27acs=1440 → pref ratio 1 → Saaty 1
alt:clarity,asus_vg27aqml5f,asus_xg27acsr,1,committed,from attributes (higher-better): asus_vg27aqml5f=1440 vs asus_xg27acsr=1440 → pref ratio 1 → Saaty 1
alt:clarity,asus_vg27aqml5f,gigabyte_g27q2,1,committed,from attributes (higher-better): asus_vg27aqml5f=1440 vs gigabyte_g27q2=1440 → pref ratio 1 → Saaty 1
alt:clarity,asus_xg27acs,asus_xg27acsr,1,committed,from attributes (higher-better): asus_xg27acs=1440 vs asus_xg27acsr=1440 → pref ratio 1 → Saaty 1
alt:clarity,asus_xg27acs,gigabyte_g27q2,1,committed,from attributes (higher-better): asus_xg27acs=1440 vs gigabyte_g27q2=1440 → pref ratio 1 → Saaty 1
alt:clarity,asus_xg27acsr,gigabyte_g27q2,1,committed,from attributes (higher-better): asus_xg27acsr=1440 vs gigabyte_g27q2=1440 → pref ratio 1 → Saaty 1
alt:panel,asus_vg27aqme5f,asus_vg27aqml5f,2,committed,from attributes (higher-better): asus_vg27aqme5f=85 vs asus_vg27aqml5f=84 → pref ratio 1.5 → Saaty 2; affine stretch
alt:panel,asus_vg27aqme5f,asus_xg27acs,1/3,committed,from attributes (higher-better): asus_vg27aqme5f=85 vs asus_xg27acs=90 → pref ratio 0.375 → Saaty 1/3; affine stretch
alt:panel,asus_vg27aqme5f,asus_xg27acsr,1/2,committed,from attributes (higher-better): asus_vg27aqme5f=85 vs asus_xg27acsr=88 → pref ratio 0.5 → Saaty 1/2; affine stretch
alt:panel,asus_vg27aqme5f,gigabyte_g27q2,3,committed,from attributes (higher-better): asus_vg27aqme5f=85 vs gigabyte_g27q2=83 → pref ratio 3 → Saaty 3; affine stretch
alt:panel,asus_vg27aqml5f,asus_xg27acs,1/4,committed,from attributes (higher-better): asus_vg27aqml5f=84 vs asus_xg27acs=90 → pref ratio 0.25 → Saaty 1/4; affine stretch
alt:panel,asus_vg27aqml5f,asus_xg27acsr,1/3,committed,from attributes (higher-better): asus_vg27aqml5f=84 vs asus_xg27acsr=88 → pref ratio 0.333 → Saaty 1/3; affine stretch
alt:panel,asus_vg27aqml5f,gigabyte_g27q2,2,committed,from attributes (higher-better): asus_vg27aqml5f=84 vs gigabyte_g27q2=83 → pref ratio 2 → Saaty 2; affine stretch
alt:panel,asus_xg27acs,asus_xg27acsr,1,committed,from attributes (higher-better): asus_xg27acs=90 vs asus_xg27acsr=88 → pref ratio 1.33 → Saaty 1; affine stretch
alt:panel,asus_xg27acs,gigabyte_g27q2,8,committed,from attributes (higher-better): asus_xg27acs=90 vs gigabyte_g27q2=83 → pref ratio 8 → Saaty 8; affine stretch
alt:panel,asus_xg27acsr,gigabyte_g27q2,6,committed,from attributes (higher-better): asus_xg27acsr=88 vs gigabyte_g27q2=83 → pref ratio 6 → Saaty 6; affine stretch
alt:size,asus_vg27aqme5f,asus_vg27aqml5f,1,committed,from attributes (higher-better): asus_vg27aqme5f=27 vs asus_vg27aqml5f=27 → pref ratio 1 → Saaty 1
alt:size,asus_vg27aqme5f,asus_xg27acs,1,committed,from attributes (higher-better): asus_vg27aqme5f=27 vs asus_xg27acs=27 → pref ratio 1 → Saaty 1
alt:size,asus_vg27aqme5f,asus_xg27acsr,1,committed,from attributes (higher-better): asus_vg27aqme5f=27 vs asus_xg27acsr=27 → pref ratio 1 → Saaty 1
alt:size,asus_vg27aqme5f,gigabyte_g27q2,1,committed,from attributes (higher-better): asus_vg27aqme5f=27 vs gigabyte_g27q2=27 → pref ratio 1 → Saaty 1
alt:size,asus_vg27aqml5f,asus_xg27acs,1,committed,from attributes (higher-better): asus_vg27aqml5f=27 vs asus_xg27acs=27 → pref ratio 1 → Saaty 1
alt:size,asus_vg27aqml5f,asus_xg27acsr,1,committed,from attributes (higher-better): asus_vg27aqml5f=27 vs asus_xg27acsr=27 → pref ratio 1 → Saaty 1
alt:size,asus_vg27aqml5f,gigabyte_g27q2,1,committed,from attributes (higher-better): asus_vg27aqml5f=27 vs gigabyte_g27q2=27 → pref ratio 1 → Saaty 1
alt:size,asus_xg27acs,asus_xg27acsr,1,committed,from attributes (higher-better): asus_xg27acs=27 vs asus_xg27acsr=27 → pref ratio 1 → Saaty 1
alt:size,asus_xg27acs,gigabyte_g27q2,1,committed,from attributes (higher-better): asus_xg27acs=27 vs gigabyte_g27q2=27 → pref ratio 1 → Saaty 1
alt:size,asus_xg27acsr,gigabyte_g27q2,1,committed,from attributes (higher-better): asus_xg27acsr=27 vs gigabyte_g27q2=27 → pref ratio 1 → Saaty 1
alt:refresh,asus_vg27aqml5f,asus_xg27acs,5,committed,320 vs 180 strong but not extreme-9
alt:refresh,asus_vg27aqme5f,asus_xg27acs,4,committed,255 vs 180
alt:refresh,asus_xg27acs,asus_xg27acsr,1/3,committed,180 vs 220
alt:refresh,asus_xg27acs,gigabyte_g27q2,1/2,committed,180 vs 210
alt:response,asus_vg27aqml5f,asus_xg27acs,5,committed,320 persistence >> 180; not Saaty 9
alt:response,asus_vg27aqme5f,asus_xg27acs,4,committed,255 vs 180
alt:value,gigabyte_g27q2,asus_xg27acs,1,committed,1250 vs 1300 ~equal
alt:value,gigabyte_g27q2,asus_vg27aqme5f,2,committed,1250 vs 1500
alt:value,gigabyte_g27q2,asus_xg27acsr,2,committed,1250 vs 1500
alt:value,gigabyte_g27q2,asus_vg27aqml5f,3,committed,1250 vs 1700
alt:value,asus_xg27acs,asus_vg27aqme5f,2,committed,1300 vs 1500
alt:value,asus_xg27acs,asus_xg27acsr,2,committed,1300 vs 1500
alt:value,asus_xg27acs,asus_vg27aqml5f,3,committed,1300 vs 1700
alt:value,asus_vg27aqme5f,asus_xg27acsr,1,committed,same 1500
alt:value,asus_vg27aqme5f,asus_vg27aqml5f,2,committed,1500 vs 1700
alt:value,asus_xg27acsr,asus_vg27aqml5f,2,committed,1500 vs 1700
